year,stage,home_team,away_team,home_goals,away_goals,host,home_continent,away_continent
1930,Group Stage,Argentina,France,1,0,Uruguay,South America,Europe
1930,Group Stage,Chile,Mexico,3,0,Uruguay,South America,North America
1930,Group Stage,France,Mexico,4,1,Uruguay,Europe,North America
1930,Group Stage,Chile,France,1,0,Uruguay,South America,Europe
1930,Group Stage,Argentina,Mexico,6,3,Uruguay,South America,North America
1930,Group Stage,Chile,Argentina,1,3,Uruguay,South America,South America
1930,Group Stage,Yugoslavia,Brazil,2,1,Uruguay,Europe,South America
1930,Group Stage,Yugoslavia,Bolivia,4,0,Uruguay,Europe,South America
1930,Group Stage,Brazil,Bolivia,4,0,Uruguay,South America,South America
1930,Group Stage,Romania,Peru,3,1,Uruguay,Europe,South America
1930,Group Stage,Uruguay,Peru,1,0,Uruguay,South America,South America
1930,Group Stage,Romania,Uruguay,0,4,Uruguay,Europe,South America
1930,Semi-finals,Argentina,United States,6,1,Uruguay,South America,North America
1930,Semi-finals,Uruguay,Yugoslavia,6,1,Uruguay,South America,Europe
1930,Final,Uruguay,Argentina,4,2,Uruguay,South America,South America
1930,Third place,United States,Yugoslavia,3,1,Uruguay,North America,Europe
1934,Round of 16,Italy,United States,7,1,Italy,Europe,North America
1934,Round of 16,Spain,Brazil,3,1,Italy,Europe,South America
1934,Round of 16,Austria,France,3,2,Italy,Europe,Europe
1934,Round of 16,Hungary,Egypt,4,2,Italy,Europe,Africa
1934,Round of 16,Czechoslovakia,Romania,2,1,Italy,Europe,Europe
1934,Round of 16,Switzerland,Netherlands,3,2,Italy,Europe,Europe
1934,Round of 16,Germany,Belgium,5,2,Italy,Europe,Europe
1934,Round of 16,Sweden,Argentina,3,2,Italy,Europe,South America
1934,Quarter-finals,Italy,Spain,1,1,Italy,Europe,Europe
1934,Quarter-finals,Italy,Spain,1,0,Italy,Europe,Europe
1934,Quarter-finals,Austria,Hungary,2,1,Italy,Europe,Europe
1934,Quarter-finals,Czechoslovakia,Switzerland,3,2,Italy,Europe,Europe
1934,Quarter-finals,Germany,Sweden,2,1,Italy,Europe,Europe
1934,Semi-finals,Italy,Austria,1,0,Italy,Europe,Europe
1934,Semi-finals,Czechoslovakia,Germany,3,1,Italy,Europe,Europe
1934,Final,Italy,Czechoslovakia,2,1,Italy,Europe,Europe
1934,Third place,Germany,Austria,3,2,Italy,Europe,Europe
1938,Round of 16,France,Belgium,3,1,France,Europe,Europe
1938,Round of 16,Germany,Switzerland,1,1,France,Europe,Europe
1938,Round of 16,Switzerland,Germany,4,2,France,Europe,Europe
1938,Round of 16,Sweden,Austria,1,0,France,Europe,Europe
1938,Round of 16,Cuba,Romania,3,3,France,North America,Europe
1938,Round of 16,Romania,Cuba,1,2,France,Europe,North America
1938,Round of 16,Hungary,Indonesia,6,0,France,Europe,Asia
1938,Round of 16,Italy,Norway,2,1,France,Europe,Europe
1938,Round of 16,Brazil,Poland,6,5,France,South America,Europe
1938,Round of 16,Czechoslovakia,Netherlands,3,0,France,Europe,Europe
1938,Quarter-finals,France,Italy,1,3,France,Europe,Europe
1938,Quarter-finals,Brazil,Czechoslovakia,1,1,France,South America,Europe
1938,Quarter-finals,Czechoslovakia,Brazil,1,2,France,Europe,South America
1938,Quarter-finals,Sweden,Cuba,8,0,France,Europe,North America
1938,Quarter-finals,Hungary,Switzerland,2,0,France,Europe,Europe
1938,Semi-finals,Italy,Brazil,2,1,France,Europe,South America
1938,Semi-finals,Hungary,Sweden,5,1,France,Europe,Europe
1938,Final,Italy,Hungary,4,2,France,Europe,Europe
1938,Third place,Brazil,Sweden,4,2,France,South America,Europe
1950,Group Stage,Brazil,Mexico,4,0,Brazil,South America,North America
1950,Group Stage,Yugoslavia,Switzerland,3,0,Brazil,Europe,Europe
1950,Group Stage,Brazil,Switzerland,2,2,Brazil,South America,Europe
1950,Group Stage,Brazil,Yugoslavia,2,0,Brazil,South America,Europe
1950,Group Stage,Switzerland,Mexico,2,1,Brazil,Europe,North America
1950,Group Stage,Mexico,Yugoslavia,1,4,Brazil,North America,Europe
1950,Group Stage,Spain,England,1,0,Brazil,Europe,Europe
1950,Group Stage,Chile,United States,5,2,Brazil,South America,North America
1950,Group Stage,Spain,Chile,2,0,Brazil,Europe,South America
1950,Group Stage,United States,England,1,0,Brazil,North America,Europe
1950,Group Stage,Spain,United States,3,1,Brazil,Europe,North America
1950,Group Stage,England,Chile,2,0,Brazil,Europe,South America
1950,Group Stage,Sweden,Italy,3,2,Brazil,Europe,Europe
1950,Group Stage,Sweden,Paraguay,2,2,Brazil,Europe,South America
1950,Group Stage,Italy,Paraguay,2,0,Brazil,Europe,South America
1950,Group Stage,Italy,Sweden,2,3,Brazil,Europe,Europe
1950,Group Stage,Paraguay,Sweden,2,2,Brazil,South America,Europe
1950,Group Stage,Uruguay,Bolivia,8,0,Brazil,South America,South America
1950,Final Round,Brazil,Sweden,7,1,Brazil,South America,Europe
1950,Final Round,Brazil,Spain,6,1,Brazil,South America,Europe
1950,Final Round,Uruguay,Spain,2,2,Brazil,South America,Europe
1950,Final Round,Uruguay,Sweden,3,2,Brazil,South America,Europe
1950,Final Round,Uruguay,Brazil,2,1,Brazil,South America,South America
1950,Final Round,Sweden,Spain,3,1,Brazil,Europe,Europe
1954,Group Stage,Brazil,Mexico,5,0,Switzerland,South America,North America
1954,Group Stage,Yugoslavia,France,1,0,Switzerland,Europe,Europe
1954,Group Stage,Brazil,Yugoslavia,1,1,Switzerland,South America,Europe
1954,Group Stage,France,Mexico,3,2,Switzerland,Europe,North America
1954,Group Stage,France,Brazil,1,1,Switzerland,Europe,South America
1954,Group Stage,Yugoslavia,Mexico,1,0,Switzerland,Europe,North America
1954,Group Stage,West Germany,Turkey,4,1,Switzerland,Europe,Europe
1954,Group Stage,Hungary,South Korea,9,0,Switzerland,Europe,Asia
